member_id,accuracy,precision,recall,f1,roc_auc,ece
5,0.8238461538461539,0.6101694915254238,0.2823529411764706,0.3860589812332439,0.8169321699971855,0.0243344333340792
2,0.8153846153846154,0.556390977443609,0.2901960784313726,0.3814432989690721,0.8109991556431184,0.0313230637065187
4,0.8207692307692308,0.5948275862068966,0.2705882352941176,0.3719676549865229,0.8069575007036307,0.0254832227698489
9,0.8192307692307692,0.5877192982456141,0.2627450980392157,0.3631436314363143,0.8133520968195892,0.0184690663119935
1,0.82,0.6,0.2470588235294117,0.35,0.8144216155361665,0.0318322643060454
8,0.82,0.6,0.2470588235294117,0.35,0.8146317665822309,0.0283829486553981
3,0.8215384615384616,0.6210526315789474,0.2313725490196078,0.3371428571428571,0.8149282296650718,0.0346535768431828
10,0.823076923076923,0.6436781609195402,0.2196078431372549,0.327485380116959,0.8158664039778591,0.0234685240615742
7,0.8207692307692308,0.6222222222222222,0.2196078431372549,0.3246376811594202,0.809201613659818,0.0344364598434786
6,0.8184615384615385,0.6091954022988506,0.2078431372549019,0.3099415204678362,0.8139187541045126,0.0356448195930186
